Name,Age,Overall,Potential,Club,Nationality,Position,Wage,Value,SprintSpeed,Acceleration,Skill Moves,Contract Valid Until
Player_1,23,63,64,Barcelona,Croatia,ST,8188,671416,96,66,1,2025
Player_2,36,68,79,Real Madrid,Argentina,CAM,28311,4671315,54,30,4,2020
Player_3,31,87,92,Liverpool,Romania,LW,143778,28611822,59,81,5,2020
Player_4,27,73,83,PSG,France,CB,27212,3374288,71,33,2,2024
Player_5,24,77,77,PSG,Germany,LW,50878,814048,90,68,1,2022
Player_6,37,59,61,Manchester City,Netherlands,CM,25341,2255349,70,70,3,2025
Player_7,23,95,99,Barcelona,Romania,CAM,16025,2451825,60,78,5,2024
Player_8,42,90,93,Arsenal,Romania,CM,206688,21908928,69,69,2,2019
Player_9,35,85,87,Barcelona,Belgium,CM,26325,342225,60,99,4,2023
Player_10,39,80,89,Atletico Madrid,Portugal,CB,112262,1459406,79,73,2,2019
Player_11,27,72,84,Juventus,France,LB,13065,1463280,59,85,5,2020
Player_12,27,76,80,Real Madrid,Spain,CM,11983,587167,62,59,5,2023
Player_13,40,82,92,Real Madrid,Romania,CAM,1581,41106,87,71,2,2024
Player_14,37,65,72,Barcelona,Germany,LW,52729,5800190,58,93,4,2019
Player_15,20,67,77,PSG,Spain,CDM,22984,2574208,48,66,2,2021
Player_16,24,55,58,PSG,Spain,CAM,99886,13284838,71,72,5,2022
Player_17,40,64,64,Arsenal,Argentina,RW,32047,1954867,64,84,5,2025
Player_18,19,88,98,Atletico Madrid,Brazil,GK,172404,10516644,77,58,3,2025
Player_19,38,68,74,Real Madrid,Brazil,LW,10260,1774980,74,37,3,2022
Player_20,37,68,75,Arsenal,Spain,CB,101484,13497372,69,73,1,2021
Player_21,18,75,77,PSG,Italy,CM,74938,13114150,69,84,5,2020
Player_22,40,55,60,Arsenal,Belgium,CDM,73684,13778908,58,49,3,2023
Player_23,28,81,82,Juventus,France,CM,93146,6706512,71,80,2,2022
Player_24,22,84,90,PSG,Italy,CB,71569,8946125,83,80,4,2021
Player_25,18,75,89,Chelsea,England,CAM,49204,3493484,55,35,2,2024
Player_26,44,88,95,Atletico Madrid,Romania,,7034,112544,69,55,4,2025
Player_27,37,58,63,Liverpool,Belgium,,1653,271092,85,64,3,2021
Player_28,17,90,95,Real Madrid,Spain,RW,126819,12808719,77,67,1,2020
Player_29,28,64,68,Manchester City,Croatia,LW,47940,1102620,89,58,2,2020
Player_30,42,59,66,Juventus,Croatia,CAM,79613,7563235,61,58,2,2019
Player_31,38,69,69,Bayern Munich,England,GK,32842,4663564,42,95,2,2022
Player_32,28,90,99,Liverpool,Italy,RB,6238,1197696,73,68,4,2019
Player_33,41,71,74,Manchester City,England,RW,6687,929493,75,59,3,2025
Player_34,33,62,76,PSG,Spain,CM,57848,4107208,90,69,2,2021
Player_35,43,59,62,Bayern Munich,Argentina,ST,28132,4444856,87,78,2,2023
Player_36,43,70,72,Barcelona,Romania,LW,11189,984632,78,70,1,2023
Player_37,26,52,54,Barcelona,Croatia,LW,33823,5344034,81,66,1,2020
Player_38,44,58,61,Juventus,Brazil,GK,3318,487746,67,60,3,2023
Player_39,44,87,97,Barcelona,France,RB,43610,2921870,51,60,3,2023
Player_40,32,85,85,Bayern Munich,England,CDM,15666,2020914,71,61,5,2025
Player_41,31,70,83,Bayern Munich,Spain,RW,79865,14056240,84,75,1,2023
Player_42,31,67,77,Atletico Madrid,Argentina,,18579,2638218,79,55,5,2021
Player_43,35,72,84,Liverpool,Croatia,CDM,30368,2247232,82,75,4,2023
Player_44,28,95,99,Real Madrid,Netherlands,,1000,22000,63,91,5,2024
Player_45,39,76,77,Chelsea,Italy,LW,3760,714400,66,74,2,2023
