gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,high school,standard,completed,100,100,91
female,group E,master's degree,standard,none,77,86,64
male,group C,master's degree,free/reduced,completed,80,79,82
female,group B,high school,standard,none,100,100,97
female,group B,associate's degree,free/reduced,completed,94,97,94
female,group C,high school,standard,completed,61,64,56
female,group A,bachelor's degree,standard,completed,90,96,85
female,group E,master's degree,free/reduced,none,58,46,55
female,group A,master's degree,free/reduced,none,59,61,66
male,group E,associate's degree,standard,completed,82,86,90
male,group B,some college,standard,none,73,67,77
female,group C,high school,free/reduced,none,82,98,75
male,group C,some college,free/reduced,none,72,75,78
male,group C,master's degree,standard,none,72,87,79
female,group C,some college,standard,none,77,73,80
male,group C,bachelor's degree,standard,completed,81,75,77
female,group D,high school,standard,completed,98,100,100
male,group D,high school,free/reduced,none,57,46,62
male,group E,associate's degree,free/reduced,none,65,69,41
female,group D,some college,standard,none,58,60,64
female,group B,high school,standard,none,32,42,18
male,group A,some college,free/reduced,none,70,78,77
female,group B,bachelor's degree,free/reduced,completed,78,77,78
female,group E,master's degree,standard,completed,64,58,75
female,group A,some high school,free/reduced,completed,100,100,100
male,group D,some high school,standard,none,49,44,43
female,group B,master's degree,standard,completed,76,70,76
female,group C,some college,free/reduced,none,58,51,67
female,group A,some college,standard,completed,98,100,100
male,group D,master's degree,standard,completed,98,95,98
male,group C,some college,standard,none,73,69,80
male,group E,some high school,standard,completed,81,84,84
female,group B,some high school,free/reduced,none,47,48,48
male,group A,bachelor's degree,free/reduced,none,31,27,43
female,group E,some high school,free/reduced,completed,60,68,74
female,group D,some college,free/reduced,completed,68,78,74
male,group C,some high school,standard,none,89,99,88
female,group B,high school,standard,none,89,97,100
male,group E,master's degree,standard,completed,70,75,80
male,group B,some college,standard,completed,71,59,78
male,group A,high school,free/reduced,none,45,60,36
male,group B,bachelor's degree,standard,none,49,54,51
male,group E,bachelor's degree,standard,none,45,52,40
female,group A,some college,standard,none,100,100,99
male,group E,associate's degree,standard,none,63,76,66
male,group E,some high school,standard,none,64,69,66
female,group E,associate's degree,standard,completed,57,62,54
female,group D,bachelor's degree,standard,completed,87,84,98
male,group D,bachelor's degree,standard,completed,51,54,39
female,group C,associate's degree,standard,completed,72,67,79
female,group C,some high school,free/reduced,none,47,43,33
male,group C,some high school,standard,none,76,71,80
female,group A,bachelor's degree,free/reduced,completed,58,59,52
male,group D,associate's degree,free/reduced,completed,48,58,56
female,group C,some college,free/reduced,none,60,87,62
female,group C,high school,free/reduced,completed,72,75,75
male,group E,some college,standard,none,71,63,64
female,group E,high school,standard,completed,80,92,76
female,group E,master's degree,standard,none,61,61,64
male,group C,associate's degree,free/reduced,completed,60,57,66
female,group C,master's degree,standard,none,60,64,85
male,group B,master's degree,free/reduced,completed,60,52,63
male,group D,some college,free/reduced,completed,53,57,62
male,group B,some high school,free/reduced,none,35,36,23
male,group A,some high school,free/reduced,completed,68,71,59
female,group E,some high school,free/reduced,completed,59,65,58
female,group B,master's degree,standard,none,46,49,37
male,group E,some college,free/reduced,none,67,70,80
